,seller_id,seller_city_x,seller_state_x,product_id_x,product_category_name_x,seller_city_y,seller_state_y,product_id_y,product_category_name_y,Delivery_time,review_avg,total_orders,total_income
3017,2499,suzano,SP,1,1,suzano,SP,1,1,18.0,3.0,1,49.0
3018,498,sao caetano do sul,SP,2,1,sao caetano do sul,SP,2,1,21.0,5.0,2,342.78
3019,2427,pitangueiras,SP,1,1,pitangueiras,SP,1,1,5.0,5.0,1,79.39
3020,559,blumenau,SC,1,1,blumenau,SC,1,1,8.0,5.0,1,59.0
3021,2634,mogi das cruzes,SP,1,1,mogi das cruzes,SP,1,1,12.0,5.0,1,44.9
3022,1151,florianopolis,SC,2,1,florianopolis,SC,2,1,7.5,5.0,2,76.8
3023,716,sao bernardo do campo,SP,1,1,sao bernardo do campo,SP,1,1,8.0,5.0,1,105.0
3024,1026,sao pauo,SP,1,1,sao pauo,SP,1,1,,4.0,1,169.9
3025,1205,ibitinga,SP,1,1,ibitinga,SP,1,1,15.0,4.0,1,103.0
3026,2468,niteroi,RJ,1,1,niteroi,RJ,1,1,12.0,4.0,1,1750.0
3027,2842,recife,PE,1,1,recife,PE,1,1,8.0,5.0,1,319.9
3028,426,sao jose do rio preto,SP,1,1,sao jose do rio preto,SP,1,1,5.0,5.0,1,99.0
3029,1529,sao goncalo,RJ,2,1,sao goncalo,RJ,2,1,16.5,3.0,2,135.0
3030,2702,sao paulo,SP,3,2,sao paulo,SP,3,2,3.67,4.67,3,73.0
3031,433,campinas,SP,4,2,campinas,SP,4,2,13.5,3.75,4,261.2
3032,2562,juzeiro do norte,CE,1,1,juzeiro do norte,CE,1,1,14.0,2.0,1,39.9
3033,359,campinas,SP,1,1,campinas,SP,1,1,36.0,1.0,1,149.9
3034,1457,sorocaba,SP,2,1,sorocaba,SP,2,1,12.0,2.0,2,330.0
3035,620,gaspar,SC,1,1,gaspar,SC,1,1,33.0,2.0,1,10.9
3036,1252,sao jose do rio preto,SP,3,1,sao jose do rio preto,SP,3,1,,1.0,3,33.81
3037,945,cachoeirinha,RS,1,1,cachoeirinha,RS,1,1,9.0,5.0,1,69.9
3038,1663,ipua,SP,1,1,ipua,SP,1,1,,1.0,1,249.0
3039,3031,pelotas,RS,1,1,pelotas,RS,1,1,7.0,5.0,1,13.9
3040,893,sao paulo,SP,1,1,sao paulo,SP,1,1,,1.0,1,169.0
3041,2237,sao paulo,SP,1,1,sao paulo,SP,1,1,8.0,5.0,1,19.9
3042,308,araquari,SC,1,0,araquari,SC,1,0,16.0,5.0,1,80.0
3043,1140,sao paulo,SP,1,1,sao paulo,SP,1,1,10.0,2.0,1,650.0
3044,2602,sao paulo,SP,1,1,sao paulo,SP,1,1,14.0,4.0,1,89.99
3045,880,sao goncalo,RJ,1,1,sao goncalo,RJ,1,1,5.0,5.0,1,139.19
3046,1490,sao paulo,SP,6,1,sao paulo,SP,6,1,13.0,1.67,6,1020.0
3047,2180,venancio aires,RS,2,1,venancio aires,RS,2,1,10.5,5.0,2,621.06
3048,2937,canoas,RS,2,1,canoas,RS,2,1,8.0,2.5,2,195.18
3049,3040,sao paulo,SP,4,1,sao paulo,SP,4,1,14.0,1.0,4,160.0
3050,2679,petropolis,RJ,1,1,petropolis,RJ,1,1,7.0,5.0,1,155.9
3051,1629,cascavel,PR,1,1,cascavel,PR,1,1,3.0,5.0,1,1599.0
3052,380,guaira,SP,1,1,guaira,SP,1,1,9.0,5.0,1,159.9
3053,2448,xanxere,SC,1,1,xanxere,SC,1,1,46.0,1.0,1,79.9
3054,2932,salvador,BA,1,1,salvador,BA,1,1,,1.0,1,67.5
3055,2062,tupa,SP,2,1,tupa,SP,2,1,10.0,1.5,2,37.98
3056,3024,pedreira,SP,2,1,pedreira,SP,2,1,,1.0,2,88.0
3057,223,valinhos,SP,1,1,valinhos,SP,1,1,13.0,4.0,1,789.89
3058,1575,maringa,PR,1,1,maringa,PR,1,1,10.0,5.0,1,18.8
3059,3070,ribeirao preto,SP,1,1,ribeirao preto,SP,1,1,,1.0,1,210.0
3060,2184,sao paulo,SP,1,1,sao paulo,SP,1,1,4.0,4.0,1,12.99
3061,2565,sao paulo,SP,1,1,sao paulo,SP,1,1,19.0,3.0,1,72.9
3062,963,sao caetano do sul,SP,1,1,sao caetano do sul,SP,1,1,13.0,5.0,1,140.0
3063,1718,horizontina,RS,1,1,horizontina,RS,1,1,8.0,5.0,1,590.0
3064,2,sao goncalo,RJ,1,1,sao goncalo,RJ,1,1,,1.0,1,250.0
3065,1741,juiz de fora,MG,1,1,juiz de fora,MG,1,1,86.0,1.0,1,975.0
3066,1426,caxias do sul,SP,1,1,caxias do sul,SP,1,1,4.0,5.0,1,229.9
3067,2717,sao paulo,SP,1,1,sao paulo,SP,1,1,30.0,5.0,1,899.9
3068,703,osasco,SP,5,0,osasco,SP,5,0,,1.0,5,206.64999999999998
3069,2401,rio de janeiro,SP,1,1,rio de janeiro,SP,1,1,8.0,5.0,1,35.0
3070,1667,lencois paulista,SP,1,1,lencois paulista,SP,1,1,12.0,4.0,1,89.9
3071,1990,são paulo,SP,2,1,são paulo,SP,2,1,15.0,5.0,2,47.8
3072,518,belo horizonte,MG,1,1,belo horizonte,MG,1,1,2.0,5.0,1,49.8
3073,2539,rio de janeiro,RJ,2,1,rio de janeiro,RJ,2,1,,1.0,2,578.0
3074,2080,sao paulo,SP,1,1,sao paulo,SP,1,1,,2.0,1,165.0
3075,2102,sao paulo,SP,1,1,sao paulo,SP,1,1,5.0,5.0,1,47.4
