,0
gostei,154
comprei,1304
gato,5
compro,125
internet,37
entrega,1007
ocorre,6
antes,129
prazo,682
combinado,19
acredito,26
ximo,24
stark,128
esgotou,6
ainda,1063
recebi,2637
produto,4696
nada,439
chegar,140
pedido,631
somente,210
controle,59
midea,2
faltou,58
remoto,12
condicionado,6
chegou,884
estipulado,12
causou,3
transtorno,27
viagem,5
rias,51
filho,13
baseado,3
moro,11
sozinho,3
agora,620
casa,115
est,456
vazia,8
inferior,67
mal,59
acabado,6
pedi,220
reembolso,66
resposta,285
momento,315
balde,7
montar,9
cada,42
entregue,1047
vendido,29
targaryen,148
tapete,58
eva,3
crian,23
tres,17
pacotes,13
cinco,12
folhas,3
papel,28
transfer,3
tecido,34
escuro,7
funciona,92
faz,94
apenas,435
nota,294
garantia,15
constam,14
duas,263
consta,132
sistema,24
pagar,35
caro,41
frete,157
rel,148
gio,137
unissex,4
enviaram,129
feminino,12
bem,130
menor,36
especifica,21
ncio,56
dia,635
fevereiro,13
hoje,232
resid,43
ncia,179
sei,111
correios,268
desse,34
brasil,6
ssimo,132
pria,8
loja,603
demorou,63
postar,3
fiz,286
compra,739
dias,356
precisa,18
melhorar,9
veio,1103
descrevendo,3
ate,188
recebin,11
posso,92
aguardando,339
chegada,15
logo,33
aconte,3
opini,39
dois,400
produtos,397
mandei,77
emails,19
nenhum,143
retorno,257
insatisfeita,70
demora,133
detestei,6
atendimento,87
nunca,180
baratheon,68
mesmos,6
melhor,34
segundo,49
rastreio,34
parado,11
ribeir,4
preto,48
deu,46
defeito,177
vez,163
uso,43
anuncia,7
outro,330
umas,8
problemas,73
faltando,174
pino,4
fixa,16
pido,24
modelo,88
diferente,250
cor,178
capinha,13
per,12
enfim,13
recomendo,249
cancelaram,24
liguei,43
lannister,460
atendentes,4
acontecendo,17
bagun,3
esperando,127
ver,48
vai,93
acabento,2
foto,149
bonito,10
feio,8
todo,69
borrado,2
nao,763
separado,8
data,179
separada,5
ruim,101
passou,101
previstos,3
ler,5
cancelar,99
desde,62
emiss,10
fiscal,213
avisada,8
correio,137
nenhuma,205
cancelamento,136
consigo,165
devolver,138
boa,76
noite,31
lament,31
vel,279
compras,56
satisfa,135
sequer,28
import,3
reais,36
ltima,16
pois,424
fazer,165
comprar,129
demorar,13
tempo,122
entregar,125
estarei,9
procurando,4
direitos,18
contra,9
lojas,127
material,73
ssima,167
qualidade,305
comprados,22
parceiro,56
jamais,11
novamente,23
dessa,66
empresa,229
correndo,3
absurdo,83
quase,94
fizeram,11
player,4
trocando,2
pilha,7
diversas,12
vezes,78
confian,14
entregou,95
colocou,3
rastreamento,47
falsa,4
quero,451
receber,261
pagos,5
boleto,16
instalei,3
cartucho,93
tinta,31
impressora,45
indicou,3
vazio,6
apresentou,9
mensagem,53
erro,37
cima,26
marcador,2
solicitei,130
troca,209
capas,18
couro,9
compradas,13
aguardo,257
devolu,242
dinheiro,280
segunda,58
capa,97
maio,3
usei,11
quebrou,8
peso,8
msg,10
informando,31
obtive,104
obrigado,18
muita,44
unidade,90
inv,20
aparelho,37
questao,2
portanto,20
gostaria,183
saber,235
prevista,30
difere,3
trata,23
solucionado,5
problema,251
satisfeito,11
procedimento,10
assim,111
contato,393
parte,74
conseguindo,19
conforme,90
venda,63
respondeu,23
mochilas,4
natal,37
chegando,7
pinc,10
vieram,74
amassados,4
condiz,23
algumas,15
fotos,21
descri,70
fracos,3
cabem,2
case,7
mostra,21
luxo,2
dizia,22
sobre,172
iguais,26
necessito,6
falar,73
pessoas,10
quina,17
grava,5
corretos,2
tentei,61
realizar,17
cart,105
site,407
realizado,12
devolvi,12
informado,38
postado,17
indicado,4
notifica,10
quanto,52
ter,236
recebemos,42
abrimos,2
reclama,127
tampo,3
mesa,29
amassado,19
batido,2
recebir,11
produtomuito,2
bom,91
pre,46
cobrado,23
urgente,57
tento,22
resolver,99
ningu,168
tudo,73
fazem,20
passar,17
reclamar,29
deram,84
grande,40
conseguiram,6
borracha,11
pvc,3
horrivel,8
titulo,3
sendo,158
previs,64
super,48
insatisfeito,45
volta,155
procon,29
cortina,60
rosa,30
bra,11
entregam,29
toda,53
preta,23
preciso,154
outra,172
boneca,16
compraria,18
conseguimos,4
vcs,86
telefone,68
jogo,60
tabaco,3
vermelho,17
indo,5
mercadoria,202
paguei,283
primeira,92
fatura,20
necessidade,8
infelizmente,88
ultima,9
totalmente,117
pendentes,26
tamb,79
funcionando,24
corretamente,28
vinte,3
informa,147
posi,74
fornecedor,67
enviou,28
correto,49
sabor,8
chocolate,8
enviado,86
chegouainda,4
mandaram,92
mim,57
justificativa,14
encaminhado,9
cidade,26
destino,12
simplesmente,46
posicionamento,22
acontecer,2
ducha,8
desviador,4
pode,40
funcionamento,9
leitura,2
vergonha,20
entregaram,227
cancelei,64
porcaria,23
vendedor,109
escolheu,2
mostrava,5
calend,2
rio,83
dif,24
cil,28
estorno,80
produtocomprei,21
cabo,46
adaptador,5
udio,5
mandou,22
massageador,3
completamente,28
cheio,13
avalia,52
negativas,6
mandando,4
superior,5
errado,221
abri,43
protocolo,10
baixa,35
primeiro,27
virou,3
mercado,10
livre,7
pedidos,43
emitida,36
havia,70
presente,146
igual,32
msm,7
sido,55
desta,36
maximo,2
chegouproduto,4
apresenta,15
risco,13
confi,8
mail,126
efetuei,37
liga,41
errada,57
consegui,58
usar,37
pontualidade,3
cliente,134
mosquiteiro,6
furos,7
pedir,20
king,12
porem,55
sim,30
pagamento,66
unidades,165
acontece,20
avariado,19
visto,13
embalagem,124
fraca,11
buracos,2
fundo,10
panela,5
devido,38
press,5
colocado,4
cancelado,53
dito,37
panelas,10
tipo,49
esp,2
pretos,4
coisa,37
enchimento,3
demais,38
itens,81
dar,71
atrasa,8
entregas,12
produtoboa,3
tarde,45
mosqueteiro,2
tamanho,53
queen,8
rculo,3
pequeno,35
cama,21
casal,14
demorada,15
produtoso,5
recebeu,23
envie,12
varias,26
detector,2
metal,2
podemos,8
orienta,15
pares,4
envio,59
outras,44
antecipado,2
pendente,18
alum,5
nio,9
meia,9
bola,9
medio,2
escovado,2
valor,193
deixando,4
desejar,27
cancela,4
autoriza,4
esgotado,4
entreguerecebi,4
perfume,29
preocupada,5
perfumes,5
quebrado,84
lugar,29
encaixar,5
gil,30
informacao,4
pel,78
cula,71
vidro,36
meses,45
original,152
vendas,4
extremamente,21
entrei,74
ligar,25
falam,4
mandar,29
link,3
direto,8
pra,329
detalhes,8
conta,26
suporte,35
clienten,4
sof,5
varios,4
online,5
entregainfelizmente,3
compensa,5
pouco,27
sica,6
todas,21
inclusive,29
parece,79
contudo,12
som,11
troquei,3
fone,14
ouvido,4
apple,4
bonecas,4
baby,2
junto,35
caixa,150
amassada,16
avaliar,84
mudarei,2
der,5
certo,52
replica,10
digo,41
pago,100
falta,210
respeito,107
consumidor,60
embalado,30
vidros,4
lacre,14
vazando,6
tendo,28
reclamado,3
pior,52
levar,8
correion,2
fiquei,80
revebi,2
espero,111
menos,46
feita,56
acordo,19
promo,11
venderam,14
entregaro,2
bot,13
abrir,40
carro,23
demorando,26
vem,43
querem,15
cobrar,7
nsito,5
cumpriram,11
metade,45
celular,52
aberta,12
remetente,8
anuncio,48
devolucao,9
escova,12
marca,73
ssimos,6
parceira,18
feito,76
neste,14
formul,4
recomendar,17
aguardar,22
gente,10
encomenda,91
voc,108
enviarem,4
semana,47
aceitei,5
envelope,16
dentro,98
puro,3
golpe,4
caso,42
policia,2
buscar,52
esperava,41
sticos,5
mesas,3
col,4
favor,63
deste,28
percebi,13
dimens,4
deixa,20
recomendado,6
responder,22
ocomprei,7
voltagem,21
torto,6
feitas,3
trocar,63
chegaria,9
realiza,4
promete,8
instalado,2
fica,55
instru,16
vale,55
pena,19
jogado,9
maquina,7
urg,30
deve,30
cumpriu,20
passaram,28
gota,2
base,35
qualquer,38
plastico,8
aqui,40
aparece,28
queria,46
atenciosamente,3
demonstrava,2
imagem,35
central,23
tampa,22
ficou,52
pequena,10
propaganda,55
colorido,21
reconhece,7
solicito,63
reclame,11
queixas,2
condi,17
esterilizador,5
vapor,2
microondas,3
philips,6
funcionou,24
confirmando,2
cabos,10
usb,15
macho,2
femea,2
defeitos,19
windows,2
poder,14
recebicomprei,10
len,47
branco,22
stico,53
fico,30
prejuizo,7
entregao,4
comprado,121
fornecido,2
reclamei,30
cabe,19
invertido,2
cont,6
avaria,6
atrav,16
estoque,106
descontado,10
nitro,2
hard,2
duvidas,2
obter,14
atraso,137
diretamente,3
precisei,7
entrar,93
cia,14
sac,17
consegue,15
cartuchos,39
tentando,68
solu,97
sucesso,13
rela,26
retirada,15
aguardado,4
cajamar,3
estraviou,2
protetor,6
porta,21
jogos,23
continuo,20
omeu,2
desacordo,3
vir,15
color,3
informam,5
esperei,22
esperan,5
sabe,18
algum,32
venha,4
resolvido,20
smartphone,2
nesta,17
porque,146
deixar,9
carregando,5
inteiro,3
ouvir,3
hora,45
enquanto,26
carrega,7
desliga,4
onde,63
efetuo,2
reparo,2
certeza,15
receberei,12
simples,28
servi,30
recomendada,4
vista,16
colcha,22
vinha,4
travesseiro,13
ent,33
sera,7
tesoura,11
comprometeu,2
manda,16
email,130
tranquilizar,2
mau,11
urgencia,5
intacto,2
coloquei,12
aspirador,5
tomada,9
conectado,5
embora,17
chateada,37
comigo,38
filha,21
escola,3
mochila,32
toalhas,34
pessima,30
mostrado,9
cerca,5
danificada,11
rachada,3
peda,6
retorna,12
ressarcimento,23
responde,26
envia,10
produtoa,4
via,31
quer,35
oslit,2
bado,8
sexta,5
feira,8
caixinha,6
motivo,57
relogio,26
amiga,2
perder,6
